"NIK","nama","kelasAjar","noRuangan","username","password"
"22345551","Aulia","1A",11,"aulia56","aulia1A"
"22345552","Zaki","1B",12,"zaki57","zaki1B"
"22345553","Ferhand","2A",13,"ferhand58","ferhand2A"
"22345554","Farah","2B",14,"farah59","farah2B"
"22345555","Brian","3A",15,"brian60","brian3A"
"22345556","Kesha","3B",16,"kesha61","kesha3B"
"22345557","Lesandro","4A",17,"lesandro62","lesandro4A"
"22345558","Reynald","4B",18,"reynald63","reynald4B"
"22345559","Eko","5A",19,"eko64","eko5A"
"22345560","Febri","5B",20,"febri65","febri5B"
