"NISN","nama","email","tglLahir","namaOrangTua","emailOrangTua","namaKelas"
"4567890","Abudu","Abudu@dummy.com","2017-03-06","Ariana","Ariana""@dummy.com","2C"
"4567891","Adudu","Adudu@dummy.com","2017-03-07","Grande","Grande""@dummy.com","3C"
"4567892","Charlize","Charlize@dummy.com","2017-03-08","Namjun","Namjun""@dummy.com","4A"
"4567893","Dududu","Dududu@dummy.com","2017-03-09","Dadada da","Dadada_da""@dummy.com","4B"
"4567894","Emily","Emily@dummy.com","2017-03-10","Kylie","Kylie""@dummy.com","5A"
"4567895","Gerly","Gerly@dummy.com","2017-03-11","Kendall","Kendall""@dummy.com","5B"
"4567896","Hiyyih","Hiyyih@dummy.com","2017-03-12","Na Hee Do","Na_Hee_Do""@dummy.com","5C"
"4567897","Huening","Huening@dummy.com","2017-03-13","Jamal Kai","Jamal_Kai""@dummy.com","6A"
"4567898","Jeykey","Jeykey@dummy.com","2017-03-14","Darari Dara","Darari_Dara""@dummy.com","6B"
"4567899","Kanari","Kanari@dummy.com","2017-03-15","Kanari Kena","Kanari_Kena""@dummy.com","6C"
"4567900","Minari","Minari@dummy.com","2017-03-15","Sebastian","Sebastian""@dummy.com","1A"
"4567901","Naninu","Naninu@dummy.com","2017-03-16","Iqbal","Iqbal""@dummy.com","1B"
"4567902","Obelia","Obelia@dummy.com","2017-03-20","Dylllan","Dylllan""@dummy.com","1C"
"4567903","Pangestu","Pangestu@dummy.com","2017-03-23","Milea","Milea""@dummy.com","2A"
"4567904","Renan","Renan@dummy.com","2017-01-24","Steffani","Steffani""@dummy.com","2B"
"4567905","Salma","Salma@dummy.com","2017-01-13","Salsabila","Salsabila""@dummy.com","2C"
"4567906","Safira","Safira@dummy.com","2017-05-05","Erbando","Erbando""@dummy.com","3C"
"4567907","Tia","Tia@dummy.com","2017-06-02","Lombardi","Lombardi""@dummy.com","4A"
"4567908","Verlincia","Verlincia@dummy.com","2017-05-01","Raphaell","Raphaell""@dummy.com","4B"
"4567909","Vander","Vander@dummy.com","2017-01-04","Sisianne Rey","Sisianne_Rey""@dummy.com","5A"
"4567910","Wonder Woman","WonderWoman@dummy.com","2017-03-06","Super Woman","Super_Woman""@dummy.com","5B"
"4567911","Xeira","Xeira@dummy.com","2017-03-07","Denisa Desti","Denisa_Desti""@dummy.com","5C"
"4567912","Zidane","Zidane@dummy.com","2017-03-08","Lesty","Lesty""@dummy.com","6A"
